      0/99     1.17G     0.094   0.09404   0.01842    0.2065       157       640   0.02476   0.07145  0.002375 0.0003602    0.1362    0.1214   0.01854
      1/99     13.7G   0.08709   0.08222   0.01532    0.1846       180       640    0.0549    0.1462   0.01217  0.001769    0.1308    0.1488   0.01594
      2/99     11.3G   0.08142   0.07557   0.01439    0.1714       334       640    0.2136    0.2913    0.1272   0.02322     0.125    0.1641   0.01504
      3/99     11.3G   0.07321   0.07909   0.01262    0.1649       541       640    0.3346    0.3298    0.2134   0.04916    0.1257    0.1671    0.0134
      4/99     11.3G   0.05131   0.08179  0.008277    0.1414       507       640    0.4212    0.4936    0.3599    0.1097    0.1276    0.1422    0.0128
      5/99     11.3G   0.04547   0.08143  0.007609    0.1345       444       640    0.4681    0.5814    0.4565    0.1514    0.1217    0.1519   0.01187
      6/99     11.3G   0.04248   0.08998  0.007438    0.1399       271       640      0.49    0.6182    0.4676     0.162    0.1171    0.1663   0.01179
      7/99     11.3G   0.03762   0.09373   0.00633    0.1377       223       640    0.5216    0.6437    0.5073    0.1451    0.1144    0.1787   0.01124
      8/99     11.3G   0.04813   0.08488  0.006486    0.1395       156       640    0.3842    0.5661    0.3436   0.06261    0.1319    0.1832    0.0117
      9/99     11.3G   0.04315   0.08528  0.006664    0.1351       168       640    0.4495    0.5074    0.3347   0.08395    0.1251    0.1926   0.01248
     10/99     11.3G   0.03756   0.09184  0.005809    0.1352       386       640    0.5499    0.6641    0.5755    0.2105    0.1209     0.196    0.0121
     11/99     11.3G   0.03971     0.104  0.005139    0.1489       571       640    0.6814    0.7131    0.6892    0.1887    0.1206    0.1946   0.01189
     12/99     11.3G   0.03618     0.103  0.004186    0.1434       676       640    0.7819    0.7613    0.7864    0.3458    0.1187    0.1892    0.0122
     13/99     11.3G   0.03529    0.1038  0.003627    0.1427       503       640    0.6231    0.6228    0.5899    0.1519    0.1201    0.1916   0.01233
     14/99     11.3G   0.03392   0.09724  0.003357    0.1345       417       640    0.8276    0.7244    0.7879    0.3276    0.1163    0.1915   0.01206
     15/99     11.3G   0.03408   0.08699  0.002767    0.1238        98       640    0.7505    0.7009    0.7587    0.3074     0.117    0.1895   0.01192
     16/99     11.3G    0.0344   0.09565  0.002615    0.1327       465       640      0.66    0.7501    0.7054     0.249    0.1152    0.1905   0.01208
     17/99     11.3G   0.03924   0.09592  0.003024    0.1382       465       640    0.8371    0.7369    0.8074    0.3385    0.1151     0.189   0.01359
     18/99     11.3G   0.03135   0.09349  0.002656    0.1275       372       640    0.8431    0.7709    0.8405    0.3742     0.113    0.1851   0.01328
     19/99     11.3G   0.03163   0.09799   0.00232    0.1319       527       640    0.8097    0.7732    0.8177    0.2982    0.1134    0.1893   0.01289
     20/99     11.3G   0.02958   0.09468  0.002381    0.1266       407       640    0.8313     0.799    0.8532    0.3896    0.1121    0.1868   0.01282
     21/99     11.3G   0.02984   0.09014  0.002139    0.1221       264       640    0.8273    0.7925    0.8519    0.3924    0.1119    0.1968   0.01268
     22/99     11.3G   0.02873    0.0901  0.001873    0.1207       291       640    0.8288    0.8114    0.8615    0.4123    0.1106    0.1932   0.01255
     23/99     11.3G   0.03112   0.09976  0.002765    0.1337       476       640    0.8188    0.8096    0.8596    0.3855    0.1101    0.1952   0.01078
     24/99     11.3G   0.03493   0.09759  0.002087    0.1346       303       640    0.8197    0.8089    0.8551    0.3893    0.1087    0.1996   0.01149
     25/99     11.3G   0.04142   0.09761  0.002846    0.1419       633       640      0.77     0.759    0.8045    0.3285    0.1089     0.207   0.01478
     26/99     11.3G   0.04471    0.1008  0.003125    0.1487      1005       640    0.8049    0.8211    0.8363    0.3481     0.109    0.2082   0.01962
     27/99     11.3G   0.05443   0.09905  0.006507      0.16       466       640    0.8078    0.8165    0.8435    0.3642     0.107    0.2066   0.03423
     28/99     11.3G   0.03661   0.09772  0.003463    0.1378       499       640    0.8079    0.8253    0.8583    0.4139    0.1066    0.2021   0.01786
     29/99     11.3G   0.03629   0.09929  0.004171    0.1398       562       640    0.8418    0.7934    0.8586    0.3935    0.1077    0.2049   0.01223
     30/99     11.3G   0.04158   0.09142  0.002299    0.1353       191       640    0.8246    0.8217    0.8652    0.4318    0.1052    0.2108   0.02238
     31/99     11.3G     0.038    0.0931  0.003686    0.1348       367       640    0.8104    0.8323    0.8591    0.4091    0.1048    0.2144   0.01012
     32/99     11.3G   0.03727     0.092  0.002596    0.1319       268       640    0.8225     0.826    0.8736     0.432    0.1043    0.2131   0.01315
     33/99     11.3G   0.03442   0.09394  0.001702    0.1301       275       640    0.8115    0.8417    0.8717    0.4368    0.1036    0.2147   0.01683
     34/99     12.6G   0.03925   0.09065  0.004101     0.134       177       640    0.8194     0.841    0.8763    0.4363     0.103    0.2177   0.01106
     35/99     12.6G   0.04522   0.09927  0.003219    0.1477       865       640    0.8259     0.834    0.8741    0.4344    0.1025    0.2161   0.01323
     36/99     12.6G   0.04422    0.1001  0.002398    0.1467       276       640    0.8429    0.8184    0.8759    0.4485    0.1013    0.2203   0.01273
     37/99     12.6G   0.03687   0.09829  0.001941    0.1371       342       640    0.8424    0.8236    0.8821    0.4469    0.1013    0.2177   0.01001
     38/99     12.6G   0.04405   0.09918  0.002317    0.1456       277       640     0.833    0.8276    0.8786    0.4568    0.1003    0.2172  0.008562
     39/99     12.6G   0.04268   0.09383  0.002336    0.1388       247       640    0.8179    0.8279    0.8656    0.3602    0.1024    0.2235    0.0124
     40/99     12.6G   0.04176    0.1003  0.001858     0.144       727       640    0.8135    0.8511      0.88    0.4508   0.09997    0.2191   0.01393
     41/99     12.6G   0.02982   0.09822  0.001577    0.1296       501       640    0.8022    0.8665     0.877    0.4533   0.09932    0.2189   0.01602
     42/99     12.6G    0.0322   0.09348  0.002395    0.1281       193       640    0.8149    0.8499    0.8708    0.4276       0.1    0.2211  0.006248
     43/99     12.6G   0.03675   0.09241   0.00177    0.1309       533       640    0.8307    0.8383    0.8803    0.4387   0.09896    0.2247  0.006273
     44/99     12.6G   0.03755   0.09532  0.002159     0.135       223       640     0.841    0.8341    0.8821    0.4575   0.09805    0.2246  0.006567
     45/99     12.6G   0.03902    0.1001  0.003888    0.1431       436       640    0.8432    0.8232    0.8759    0.4475     0.098    0.2238   0.01652
     46/99     12.6G   0.03751   0.09368  0.002623    0.1338       350       640     0.806    0.8382    0.8707    0.4394   0.09818    0.2233   0.01642
     47/99     12.6G   0.03563    0.0927  0.001931    0.1303       229       640    0.8558    0.8021    0.8701    0.4398   0.09809    0.2256    0.0191
